"ndc","rxcui","in_rxcui","has_min","in_tty","in_name","in_synonym","in_umlscui","atc5","ddd","u","adm_r","whocc_note"
"00002475977",855816,613391,FALSE,"IN","prasugrel",NA,NA,"B01AC22",NA,NA,NA,NA
"00002512377",855816,613391,FALSE,"IN","prasugrel",NA,NA,"B01AC22",NA,NA,NA,NA
"00002714001",108911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002717510",1812170,3616,FALSE,"IN","dobutamine",NA,NA,"C01CA07",NA,NA,NA,NA
"00002735501",208812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002750201",1720977,12574,FALSE,"IN","gemcitabine",NA,NA,"L01BC05",NA,NA,NA,NA
"00002751001",865098,86009,FALSE,"IN","insulin lispro",NA,NA,"A10AB04",NA,NA,NA,NA
"00002751001",865098,86009,FALSE,"IN","insulin lispro",NA,NA,"A10AC04",NA,NA,NA,NA
"00002751001",865098,86009,FALSE,"IN","insulin lispro",NA,NA,"A10AD04",NA,NA,NA,NA
"00002751101",752388,314684,TRUE,"IN","insulin lispro protamine, human",NA,NA,NA,NA,NA,NA,NA
"00002751101",752388,86009,TRUE,"IN","insulin lispro",NA,NA,"A10AB04",NA,NA,NA,NA
"00002751101",752388,86009,TRUE,"IN","insulin lispro",NA,NA,"A10AC04",NA,NA,NA,NA
"00002751101",752388,86009,TRUE,"IN","insulin lispro",NA,NA,"A10AD04",NA,NA,NA,NA
"00002751101",752388,816726,TRUE,"MIN","insulin lispro / insulin lispro protamine, human",NA,NA,NA,NA,NA,NA,NA
"00002751201",731281,314684,TRUE,"IN","insulin lispro protamine, human",NA,NA,NA,NA,NA,NA,NA
"00002751201",731281,86009,TRUE,"IN","insulin lispro",NA,NA,"A10AB04",NA,NA,NA,NA
"00002751201",731281,86009,TRUE,"IN","insulin lispro",NA,NA,"A10AC04",NA,NA,NA,NA
"00002751201",731281,86009,TRUE,"IN","insulin lispro",NA,NA,"A10AD04",NA,NA,NA,NA
"00002751201",731281,816726,TRUE,"MIN","insulin lispro / insulin lispro protamine, human",NA,NA,NA,NA,NA,NA,NA
"00002755901",351146,352374,FALSE,"IN","drotrecogin alfa","drotrecogin alfa (activated)",NA,"B01AD10",NA,NA,NA,NA
"00002759701",545353,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002762301",1728075,68446,FALSE,"IN","pemetrexed",NA,NA,"L01BA04",NA,NA,NA,NA
"00002763511",1718936,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002763611",1718932,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002763711",1718928,61381,FALSE,"IN","olanzapine",NA,NA,"N05AH03",NA,NA,NA,NA
"00002767801",1657781,1535922,FALSE,"IN","ramucirumab",NA,NA,"L01FG02",NA,NA,NA,NA
"00002821501",311036,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AB01",NA,NA,NA,NA
"00002821501",311036,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AC01",NA,NA,NA,NA
"00002821501",311036,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AD01",NA,NA,NA,NA
"00002821501",311036,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AE01",NA,NA,NA,NA
"00002821501",311036,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AF01",NA,NA,NA,NA
"00002831501",311026,1605101,FALSE,"IN","insulin isophane",NA,NA,NA,NA,NA,NA,NA
"00002840001",1435117,32915,FALSE,"IN","teriparatide",NA,NA,"H05AA02",NA,NA,NA,NA
"00002850101",351859,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AB01",NA,NA,NA,NA
"00002850101",351859,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AC01",NA,NA,NA,NA
"00002850101",351859,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AD01",NA,NA,NA,NA
"00002850101",351859,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AE01",NA,NA,NA,NA
"00002850101",351859,253182,FALSE,"IN","insulin, regular, human",NA,NA,"A10AF01",NA,NA,NA,NA
"00002871501",106892,1605101,TRUE,"IN","insulin isophane",NA,NA,NA,NA,NA,NA,NA
"00002871501",106892,253182,TRUE,"IN","insulin, regular, human",NA,NA,"A10AB01",NA,NA,NA,NA
"00002871501",106892,253182,TRUE,"IN","insulin, regular, human",NA,NA,"A10AC01",NA,NA,NA,NA
"00002871501",106892,253182,TRUE,"IN","insulin, regular, human",NA,NA,"A10AD01",NA,NA,NA,NA
"00002871501",106892,253182,TRUE,"IN","insulin, regular, human",NA,NA,"A10AE01",NA,NA,NA,NA
"00002871501",106892,253182,TRUE,"IN","insulin, regular, human",NA,NA,"A10AF01",NA,NA,NA,NA
"00002871501",106892,1008501,TRUE,"MIN","insulin isophane / insulin, regular, human",NA,NA,NA,NA,NA,NA,NA
"00002897101",1435117,32915,FALSE,"IN","teriparatide",NA,NA,"H05AA02",NA,NA,NA,NA
"00003021501",1660196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00003029305",2480108,10759,FALSE,"IN","triamcinolone",NA,NA,"A01AC01",NA,NA,NA,NA
"00003029305",2480108,10759,FALSE,"IN","triamcinolone",NA,NA,"C05AA12",NA,NA,NA,NA
"00003029305",2480108,10759,FALSE,"IN","triamcinolone",NA,NA,"D07AB09",NA,NA,NA,NA
"00003029305",2480108,10759,FALSE,"IN","triamcinolone",NA,NA,"D07XB02",NA,NA,NA,NA
"00003029305",2480108,10759,FALSE,"IN","triamcinolone",NA,NA,"H02AB08",NA,NA,NA,NA
"00003029305",2480108,10759,FALSE,"IN","triamcinolone",NA,NA,"R01AD11",NA,NA,NA,NA
"00003029305",2480108,10759,FALSE,"IN","triamcinolone",NA,NA,"R03BA06",NA,NA,NA,NA
"00003029305",2480108,10759,FALSE,"IN","triamcinolone",NA,NA,"S01BA05",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","triamcinolone",NA,NA,"A01AC01",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","triamcinolone",NA,NA,"C05AA12",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","triamcinolone",NA,NA,"D07AB09",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","triamcinolone",NA,NA,"D07XB02",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","triamcinolone",NA,NA,"H02AB08",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","triamcinolone",NA,NA,"R01AD11",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","triamcinolone",NA,NA,"R03BA06",NA,NA,NA,NA
"00003029320",1085756,10759,FALSE,"IN","triamcinolone",NA,NA,"S01BA05",NA,NA,NA,NA
"00003037113",1112980,1112973,FALSE,"IN","belatacept",NA,NA,"L04AA28",NA,NA,NA,NA
"00003043730",239240,732,FALSE,"IN","amphotericin B",NA,NA,"A01AB04",NA,NA,NA,NA
"00003043730",239240,732,FALSE,"IN","amphotericin B",NA,NA,"A07AA07",NA,NA,NA,NA
"00003043730",239240,732,FALSE,"IN","amphotericin B",NA,NA,"G01AA03",NA,NA,NA,NA
"00003043730",239240,732,FALSE,"IN","amphotericin B",NA,NA,"J02AA01",NA,NA,NA,NA
"00003049420",1085752,10759,FALSE,"IN","triamcinolone",NA,NA,"A01AC01",NA,NA,NA,NA
"00003049420",1085752,10759,FALSE,"IN","triamcinolone",NA,NA,"C05AA12",NA,NA,NA,NA
"00003049420",1085752,10759,FALSE,"IN","triamcinolone",NA,NA,"D07AB09",NA,NA,NA,NA
"00003049420",1085752,10759,FALSE,"IN","triamcinolone",NA,NA,"D07XB02",NA,NA,NA,NA
"00003049420",1085752,10759,FALSE,"IN","triamcinolone",NA,NA,"H02AB08",NA,NA,NA,NA
"00003049420",1085752,10759,FALSE,"IN","triamcinolone",NA,NA,"R01AD11",NA,NA,NA,NA
"00003049420",1085752,10759,FALSE,"IN","triamcinolone",NA,NA,"R03BA06",NA,NA,NA,NA
"00003049420",1085752,10759,FALSE,"IN","triamcinolone",NA,NA,"S01BA05",NA,NA,NA,NA
"00003052411",643177,475342,FALSE,"IN","dasatinib",NA,NA,"L01EA02",NA,NA,NA,NA
"00003052711",643173,475342,FALSE,"IN","dasatinib",NA,NA,"L01EA02",NA,NA,NA,NA
"00003056902",859833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00003059320",646456,7597,FALSE,"IN","nystatin",NA,NA,"A07AA02",NA,NA,NA,NA
"00003059320",646456,7597,FALSE,"IN","nystatin",NA,NA,"D01AA01",NA,NA,NA,NA
"00003059320",646456,7597,FALSE,"IN","nystatin",NA,NA,"G01AA01",NA,NA,NA,NA
"00003080110",861848,4496,FALSE,"IN","fluphenazine",NA,NA,"N05AB02",NA,NA,NA,NA
"00003085222",799830,475342,FALSE,"IN","dasatinib",NA,NA,"L01EA02",NA,NA,NA,NA
"00003089331",1364441,1364430,FALSE,"IN","apixaban",NA,NA,"B01AF02",NA,NA,NA,NA
"00003089431",1364447,1364430,FALSE,"IN","apixaban",NA,NA,"B01AF02",NA,NA,NA,NA
"00003148220",206546,5084,FALSE,"IN","halcinonide",NA,NA,"D07AD02",NA,NA,NA,NA
"00003161112",578457,306266,FALSE,"IN","entecavir",NA,NA,"J05AF10",NA,NA,NA,NA
"00003161212",578459,306266,FALSE,"IN","entecavir",NA,NA,"J05AF10",NA,NA,NA,NA
"00003161412",607579,306266,FALSE,"IN","entecavir",NA,NA,"J05AF10",NA,NA,NA,NA
"00003196401",313107,59763,FALSE,"IN","stavudine",NA,NA,"J05AF04",NA,NA,NA,NA
"00003196501",313108,59763,FALSE,"IN","stavudine",NA,NA,"J05AF04",NA,NA,NA,NA
"00003218710",616018,614391,FALSE,"IN","abatacept",NA,NA,"L04AA24",NA,NA,NA,NA
"00003218713",616018,614391,FALSE,"IN","abatacept",NA,NA,"L04AA24",NA,NA,NA,NA
"00003223011",1664984,1272,FALSE,"IN","aztreonam",NA,NA,"J01DF01",NA,NA,NA,NA
"00003224011",1664988,1272,FALSE,"IN","aztreonam",NA,NA,"J01DF01",NA,NA,NA,NA
"00003256016",1664984,1272,FALSE,"IN","aztreonam",NA,NA,"J01DF01",NA,NA,NA,NA
"00003362312",402245,343047,FALSE,"IN","atazanavir",NA,NA,"J05AE08",NA,NA,NA,NA
"00003362412",402094,343047,FALSE,"IN","atazanavir",NA,NA,"J05AE08",NA,NA,NA,NA
"00003363112",402093,343047,FALSE,"IN","atazanavir",NA,NA,"J05AE08",NA,NA,NA,NA
"00003377412",1657196,1597876,FALSE,"IN","nivolumab",NA,NA,"L01FF01",NA,NA,NA,NA
"00004001823",208558,10594,FALSE,"IN","ticlopidine",NA,NA,"B01AC05",NA,NA,NA,NA
"00004003822",284587,275891,FALSE,"IN","valganciclovir",NA,NA,"J05AB14",NA,NA,NA,NA
"00004003909",863562,275891,FALSE,"IN","valganciclovir",NA,NA,"J05AB14",NA,NA,NA,NA
"00004004401",197873,6378,FALSE,"IN","levorphanol",NA,NA,NA,NA,NA,NA,NA
"00004014301",209006,1894,FALSE,"IN","calcitriol","1,25-dihydroxycholecalciferol",NA,"A11CC04",NA,NA,NA,NA
"00004014301",209006,1894,FALSE,"IN","calcitriol","1,25-dihydroxycholecalciferol",NA,"D05AX03",NA,NA,NA,NA
"00004014401",209007,1894,FALSE,"IN","calcitriol","1,25-dihydroxycholecalciferol",NA,"A11CC04",NA,NA,NA,NA
"00004014401",209007,1894,FALSE,"IN","calcitriol","1,25-dihydroxycholecalciferol",NA,"D05AX03",NA,NA,NA,NA
"00004018301",858613,7396,FALSE,"IN","nicardipine",NA,NA,"C08CA04",NA,NA,NA,NA
"00004018401",858616,7396,FALSE,"IN","nicardipine",NA,NA,"C08CA04",NA,NA,NA,NA
"00004024009",240912,26237,FALSE,"IN","granisetron",NA,NA,"A04AA02",NA,NA,NA,NA
"00004024126",310599,26237,FALSE,"IN","granisetron",NA,NA,"A04AA02",NA,NA,NA,NA
"00004024515",200105,83395,FALSE,"IN","saquinavir",NA,NA,"J05AE01",NA,NA,NA,NA
"00004025001",199159,10753,FALSE,"IN","tretinoin",NA,NA,"D10AD01",NA,NA,NA,NA
"00004025001",199159,10753,FALSE,"IN","tretinoin",NA,NA,"L01XF01",NA,NA,NA,NA
"00004025901",616447,68149,FALSE,"IN","mycophenolate mofetil",NA,NA,NA,NA,NA,NA,NA
"00004026001",616435,68149,FALSE,"IN","mycophenolate mofetil",NA,NA,NA,NA,NA,NA,NA
"00004026129",616444,68149,FALSE,"IN","mycophenolate mofetil",NA,NA,NA,NA,NA,NA,NA
"00004026249",198372,38413,FALSE,"IN","torsemide","torasemide",NA,"C03CA04",NA,NA,NA,NA
"00004026449",208081,38413,FALSE,"IN","torsemide","torasemide",NA,"C03CA04",NA,NA,NA,NA
"00004026501",198370,38413,FALSE,"IN","torsemide","torasemide",NA,"C03CA04",NA,NA,NA,NA
"00004026706",1729521,38413,FALSE,"IN","torsemide","torasemide",NA,"C03CA04",NA,NA,NA,NA
"00004029809",213394,68149,FALSE,"IN","mycophenolate mofetil",NA,NA,NA,NA,NA,NA,NA
"00004035009",352297,120608,FALSE,"IN","peginterferon alfa-2a",NA,NA,"L03AB11",NA,NA,NA,NA
"00004038039",404460,139896,FALSE,"IN","enfuvirtide",NA,NA,"J05AX07",NA,NA,NA,NA
"00004038140",404460,139896,FALSE,"IN","enfuvirtide",NA,NA,"J05AX07",NA,NA,NA,NA
"00004080085",261315,260101,FALSE,"IN","oseltamivir",NA,NA,"J05AH02",NA,NA,NA,NA
"00004080285",728111,260101,FALSE,"IN","oseltamivir",NA,NA,"J05AH02",NA,NA,NA,NA
"00004081095",314157,260101,FALSE,"IN","oseltamivir",NA,NA,"J05AH02",NA,NA,NA,NA
"00004082009",1115700,260101,FALSE,"IN","oseltamivir",NA,NA,"J05AH02",NA,NA,NA,NA
"00004082205",1115700,260101,FALSE,"IN","oseltamivir",NA,NA,"J05AH02",NA,NA,NA,NA
"00004110150",213293,194000,FALSE,"IN","capecitabine",NA,NA,"L01BC06",NA,NA,NA,NA
"00004196301",1665046,2193,FALSE,"IN","ceftriaxone",NA,NA,"J01DD04",NA,NA,NA,NA
"00004196401",1665046,2193,FALSE,"IN","ceftriaxone",NA,NA,"J01DD04",NA,NA,NA,NA
"00004631301",105898,7258,FALSE,"IN","naproxen",NA,NA,"G02CC02",NA,NA,NA,NA
"00004631301",105898,7258,FALSE,"IN","naproxen",NA,NA,"M01AE02",NA,NA,NA,NA
"00004631301",105898,7258,FALSE,"IN","naproxen",NA,NA,"M02AA12",NA,NA,NA,NA
"00004691106",204508,4457,FALSE,"IN","flumazenil",NA,NA,"V03AB25",NA,NA,NA,NA
"00004694003",205743,4678,FALSE,"IN","ganciclovir",NA,NA,"J05AB06",NA,NA,NA,NA
"00004694003",205743,4678,FALSE,"IN","ganciclovir",NA,NA,"S01AD09",NA,NA,NA,NA
"00005010005",1593140,1593128,TRUE,"IN","meningococcal group B vaccine",NA,NA,NA,NA,NA,NA,NA
"00005010005",1593140,1593134,TRUE,"MIN","Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen / Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,798220,TRUE,"IN","Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,798222,TRUE,"IN","Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,798224,TRUE,"IN","Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,798226,TRUE,"IN","Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,798228,TRUE,"IN","Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,798230,TRUE,"IN","Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,798232,TRUE,"IN","Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,901620,TRUE,"IN","Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,901624,TRUE,"IN","Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,901628,TRUE,"IN","Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,901631,TRUE,"IN","Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,901633,TRUE,"IN","Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,901636,TRUE,"IN","Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197101",901644,1008803,TRUE,"MIN","Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,798220,TRUE,"IN","Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,798222,TRUE,"IN","Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,798224,TRUE,"IN","Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,798226,TRUE,"IN","Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,798228,TRUE,"IN","Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,798230,TRUE,"IN","Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,798232,TRUE,"IN","Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,901620,TRUE,"IN","Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,901624,TRUE,"IN","Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,901628,TRUE,"IN","Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,901631,TRUE,"IN","Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,901633,TRUE,"IN","Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,901636,TRUE,"IN","Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005197102",901644,1008803,TRUE,"MIN","Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine",NA,NA,NA,NA,NA,NA,NA
"00005434462",311863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00005534323",207353,6980,FALSE,"IN","minocycline",NA,NA,"A01AB23",NA,NA,NA,NA
"00005534323",207353,6980,FALSE,"IN","minocycline",NA,NA,"D10AF07",NA,NA,NA,NA
"00005534323",207353,6980,FALSE,"IN","minocycline",NA,NA,"J01AA08",NA,NA,NA,NA
"00005921823",905343,3154,FALSE,"IN","demeclocycline",NA,NA,"D06AA01",NA,NA,NA,NA
"00005921823",905343,3154,FALSE,"IN","demeclocycline",NA,NA,"J01AA01",NA,NA,NA,NA
"00005927029",905349,3154,FALSE,"IN","demeclocycline",NA,NA,"D06AA01",NA,NA,NA,NA
"00005927029",905349,3154,FALSE,"IN","demeclocycline",NA,NA,"J01AA01",NA,NA,NA,NA
"00006003121",904433,46041,FALSE,"IN","alendronate",NA,NA,NA,NA,NA,NA,NA
"00006003220",261314,6069,FALSE,"IN","ivermectin",NA,NA,"D11AX22",NA,NA,NA,NA
"00006003220",261314,6069,FALSE,"IN","ivermectin",NA,NA,"P02CF01",NA,NA,NA,NA
"00006004368",207839,8308,FALSE,"IN","vitamin K1","vitamin K 1",NA,"B02BA01",NA,NA,NA,NA
"00006006568",1251905,62349,FALSE,"IN","ethacrynate",NA,NA,NA,NA,NA,NA,NA
"00006007131",213178,25025,FALSE,"IN","finasteride",NA,NA,"D11AX10",NA,NA,NA,NA
"00006007131",213178,25025,FALSE,"IN","finasteride",NA,NA,"G04CB01",5,"mg","O",NA
"00006011231",665044,593411,FALSE,"IN","sitagliptin",NA,NA,"A10BH01",0.1,"g","O",NA
"00006011728",153892,88249,FALSE,"IN","montelukast",NA,NA,"R03DC03",NA,NA,NA,NA
"00006022761",744846,719872,FALSE,"IN","raltegravir",NA,NA,"J05AJ01",NA,NA,NA,NA
"00006026706",213322,88014,FALSE,"IN","rizatriptan",NA,NA,"N02CC04",NA,NA,NA,NA
"00006027528",153893,88249,FALSE,"IN","montelukast",NA,NA,"R03DC03",NA,NA,NA,NA
"00006027731",665036,593411,FALSE,"IN","sitagliptin",NA,NA,"A10BH01",0.1,"g","O",NA
"00006046106",404465,358255,FALSE,"IN","aprepitant",NA,NA,"A04AD12",NA,NA,NA,NA
"00006046206",404466,358255,FALSE,"IN","aprepitant",NA,NA,"A04AD12",NA,NA,NA,NA
"00006056840",668606,194337,FALSE,"IN","vorinostat",NA,NA,"L01XH01",NA,NA,NA,NA
"00006057354",153128,114289,FALSE,"IN","indinavir",NA,NA,"J05AE02",NA,NA,NA,NA
"00006066168",208720,10798,FALSE,"IN","trientine",NA,NA,"A16AX12",NA,NA,NA,NA
"00006073128",206257,6472,FALSE,"IN","lovastatin",NA,NA,"C10AA02",NA,NA,NA,NA
"00006092558",904427,46041,FALSE,"IN","alendronate",NA,NA,NA,NA,NA,NA,NA
"00006093628",904421,46041,FALSE,"IN","alendronate",NA,NA,NA,NA,NA,NA,NA
"00006095128",979487,52175,FALSE,"IN","losartan",NA,NA,"C09CA01",NA,NA,NA,NA
"00006095228",979494,52175,FALSE,"IN","losartan",NA,NA,"C09CA01",NA,NA,NA,NA
